Metric,No_AGC,Conv_AGC,Opt_AGC
Settling Time,4.14e-06,0.00010096,0.00010096
Std Dev,16.9127753333567,12.7048210862149,10.8278871916412
P2P,60.2980132531022,42.4986443235118,36.0036874328563
MSE,392298.729547456,129715.926325035,68726.6057980118
SNR Improve,-26.9022482230441,-25.2415380762982,-24.1250039217694
Overshoot,5930.68494286824,4150.61007734551,3501.01169604089
SS Error,19.7276275223377,15.0403176851649,12.7087865459563
